主题,赞成数,反对数,留言数,持续时长
A7县星沙商业乐园是否存在违建？,6,0,15,217.0
A市银杏嘉园9栋的4台电梯故障频发！,1,1,9,275.0
请加快A市文化体育强省步伐,7,0,17,195.0
咨询异地办理出国签证的问题,5,1,13,234.0
A市谷山庭院3期出售紧急避难场所,0,0,3,333.0
职能部门相互推诿，A5区植物园社区山水熙园小区业主苦不堪言,3,0,2,342.0
反映3号线星沙问题中心站点出口设置问题,1,0,14,223.0
A3区金路小区附近油烟问题和噪音污染问题急需解决,35,2,19,171.0
请督促A市自来水公司解决湖开小区供水问题,0,0,11,252.0
A市A1区路和楚江中路违停现象无人管理,4,0,9,271.0
反映A市万科金域蓝湾物业收费等问题,0,0,22,142.0
A市万润滨江天著毛坯房有严重质量问题,45,2,7,287.0
A6区金悦花园后面建学校堵塞了小区后面的主道,0,0,9,269.0
A市丽发新城小区侧面建设混泥土搅拌站，粉尘和噪音污染严重,2,0,36,1
A3区麓山南路西地省大学附近的树木有点挡道,3,0,7,287.0
A市外嫁女征地补偿政策不合理,0,0,12,237.0
A7县星沙众鑫建材市场未经业主同意，私自违法安装门禁乱收费,6,0,8,275.0
咨询A3区保利西海岸小学的开学问题,29,0,11,243.0
请问A市住房公积金贷款可以变更姓名吗？,0,0,18,175.0
花园里三街103号A市碧桂园威尼斯城违建严重,9,0,3,323.0
A2区富绿新村新6栋的垃圾站何时能拆？,0,1,13,224.0
A市A1区万国城新建养老院是否存在违规,1,1,12,233.0
对A市渔业路架设高架桥的一些建议,0,0,3,322.0
举报A市时代年华精装房欺骗购房者,11,1,14,211.0
丽发新城小区旁建搅拌厂严重扰民！,0,0,34,13.0
A市五一广场地铁站路标不明显,6,0,7,280.0
A3区雷锋镇真人桥村征地拆迁事项的咨询,1,0,9,258.0
A3区奥园城市天骄楼盘经常施工至半夜3、4点，严重扰民,1,0,11,237.0
反映A4区万国城三期幼儿园学位问题,2,0,12,226.0
请督促A市中级人民法院民三庭尽快开庭、尽快判决,5,0,5,295.0
A市绿地海外滩二期没交房就有楼房沉降开裂的问题,693,0,9,220.0
A2区大托铺街道学生出行不方便,3,1,6,284.0
A7县泉塘街道泉星生鲜市场装修工程没有公开招标,0,0,8,264.0
请求整治A2区荣盛花语书苑群违规租房现象,1,0,6,283.0
A4区荷花池停车位的地锁合规吗,0,1,8,263.0
反映A市A5区劳动东路昇明壹城小区内消防安全问题,13,6,19,153.0
A2区富绿新村房产的性质是什么？,15,3,9,252.0
A7县深业睿城开发商违法出售人防车位，请政府查处,11,0,24,103.0
A2区福满新城二期施工噪音扰民谁能管,0,0,11,232.0
建议调整长郡A9市实验学校小学部的课后服务时间,4,0,6,280.0
西地省人民医院的停车费贵的太离谱,5,0,8,260.0
A7县万家丽路世景华庭西北门违规摆摊,1,1,6,280.0
投诉西地省A8县服务区高速交警乱执法,1,0,6,280.0
A3区山景区的一些路标标错了吧,1,2,6,280.0
A市新汽车北站什么时候能开工？,1,0,12,220.0
噪音、灰尘污染的A2区丽发新城附近环保部门不作为,0,0,34,1
A3区郝家坪小学何时扩建？,58,0,5,285.0
咨询小孩城乡居民医保政策,0,0,22,119.0
A7县开元路深业睿城施工噪音太大,1,0,24,98.0
投诉A1区德政园聚心苑一饭店违规排放油烟，占用公共通道,0,0,4,296.0
A3区魏家坡小区脏乱差,0,0,12,216.0
A市地铁窑岭站半夜施工持续扰民,0,0,14,196.0
A2区暮云段107国道改造怎么那么慢,1,1,21,126.0
给长株潭城际铁路运营的建议,3,0,13,205.0
希望A市能加快出租车改革,3,0,18,155.0
A7县山水A1区私自违建现象盼查,2,1,12,214.0
A7县福临镇冯家坡村菜水塘组村民求修水泥路,0,0,2,313.0
投诉A市新城国际花都五期的混凝土不合格,5,0,9,243.0
反映A7县楚龙街道高沙村土地确权的问题,9,0,13,203.0
关于修改A市住房限购限售政策的建议,12,0,10,232.0
在A3区梅溪湖派出所落户怎么这么久,5,0,20,133.0
投诉A市红星国际公馆违规交房现象,1,0,9,242.0
A市高铁南站出租车用假钱,11,0,15,182.0
A市阳光城檀悦工地长期通宵施工扰民,2,0,22,113.0
A7县星沙中贸城欺诈业主、拖欠业主资金不退还,1,0,9,241.0
西地省高速为何同工不同酬？,34,0,10,229.0
A市有人利用绿色网络按摩平台进行网络招嫖,0,0,13,201.0
咨询A市办理户口迁出可以在网上申请办理吗？,1,0,19,141.0
A市民是按区域位置划分的吗？,0,0,7,260.0
再次反映西地省富惠天下工作人员涉嫌诈骗一事,0,1,21,121.0
A7县江背镇朱桥社区建水泥路面需要村民集资？,6,0,7,259.0
反映A市人才租房购房补贴问题,0,0,33,1
A4区三一大道车站路口的红绿灯时间设置不合理,9,0,18,149.0
有感中小学生自费筛查,0,0,4,288.0
请问A市加快国家中心城市建设有何具体行动？,4,0,20,129.0
A市亚洲湖村健康大道“不健康”,2,0,8,248.0
A市教师生育津贴发放时间太长了,0,0,7,257.0
希望提高A市至F市白天普快列车的频次,0,0,3,296.0
请问能不能让A7县x117公交车在9点以前15分钟一趟,14,0,4,284.0
A市远大路和万家丽路地下通道流浪人员众多,2,0,9,235.0
A市山水庭院小区物业是否偷税漏税？,0,0,12,204.0
A市地铁4号线月亮岛地铁口出行交通不便,0,0,19,134.0
咨询A5区泰禹云开壹品产权证的问题,7,0,3,292.0
A4区洪山公园的建设计划何时才能正式启动？,57,0,13,190.0
第三次投诉A7县金科物业服务问题,2,1,17,153.0
A市同升湖学校寒假对学生实施有偿补课,4,0,7,252.0
A市地铁扫码能不能取消打开蓝牙？,7,1,6,261.0
举报A8县碧桂园山湖城开发商及物业非法出卖公共土地,0,0,3,291.0
反映A市地铁３号线松雅湖站点附近地下通道问题,42,0,22,100.0
请A7县政府保障留地安置失地农民,7,0,3,290.0
A市X115等待时间太久了,0,0,2,300.0
在A8县连续缴纳社保36个月，是否拥有A市购房资格？,0,0,14,180.0
A6区河东金云村范围内会建设公交首末站吗？,22,14,6,258.0
希望A市土城社区早日回复谷山庭院14栋办公用房的问题,5,1,5,268.0
A5区公共建设服务中心在六号路修建、验收、移交等方面存在诸多问题,8,0,7,248.0
A7县泉塘中学领导对待老师不公平,14,13,16,158.0
咨询去年4月份公示新增的几条A7县星沙公交线路进度,7,0,7,247.0
A市白沙晶城电梯经常发生各种掉楼层情况,0,0,4,277.0
咨询A7县星沙东四路以东，方略城市广场前面的项目规划,23,13,8,236.0
请帮忙解决A7县中茂城企业老板欠款问题,2,0,9,227.0
A市A1区路到西湖路至乡村小道有环境污染问题,7,0,3,286.0
恳请A7县北山镇政府协助民工讨回血汗钱,5,0,2,295.0
A市澳海澜庭小区的保安聚众殴打业主，还不闻不问,0,0,3,285.0
A市办理老人公交卡还需要暂住证,0,0,8,235.0
恳请政府帮助解决A8县未来方舟办理房产证的难题,0,6,8,235.0
A1区马王堆沁园小区b区停车位被个人占用了！,0,1,10,215.0
控诉A3区政府违法征拆，暴力对待被征收人,3,0,6,254.0
咨询小孩转入A市就读小学等问题,1,0,12,194.0
A3区王家湾麓山南路与西二环叉路口周边区域停水已经八天了！,1,0,5,262.0
请求处理A7县金科时代中心物业强制收取停车费,3,1,21,103.0
反映A市香樟家园小区安全隐患,4,1,13,182.0
A3区万翔国际大酒店西侧装外墙电梯，有非常大的安全隐患,1,0,7,241.0
A6区红旺大市场内ktv无证经营，严重扰民,1,1,14,170.0
投诉A市北辰中央公园C区物业经理收保护费,0,0,5,259.0
反映A5区万科魅力之城小孩入学问题,0,0,31,1
请加快A市一圈二场三道步伐力度,0,0,31,1
A7县星沙四区凉塘路旧城改造要拖到何年何月才能动工,29,1,14,168.0
A市电力局强占小区公摊范围强制施工，影响人身安全,2,0,6,248.0
A市维也纳酒店东塘店是无证经营吗,2,1,13,178.0
希望L827路停一下A7县机场大道人民东路站牌,1,0,3,277.0
我房子被拆多年，A3区西湖街道安置办一直没给我安置,2,0,30,9.0
A市保利中航城还有人在顶风违建,1,0,7,237.0
A市公积金何时可进行网上转移,6,6,10,207.0
希望在A市新开铺小学路口修建地下通道,17,0,6,246.0
A7县松雅湖畔地面停车收费,0,0,7,236.0
建议增设A2区南塘城轨公交站,1,0,13,176.0
A7县M9县城二期东门嗲嗲的菜对面摊贩是否有许可证？,6,4,7,235.0
A市双龙警苑房屋漏水问题一直没解决,0,0,6,245.0
A6区金海中学寒假要求补课两次,3,0,9,215.0
A3区盛世耀凯小区杜鹃路段好多渣土车扰民,0,0,9,215.0
A市城区电动车上牌的地点公布了吗,0,0,2,284.0
A1区朝阳生鲜市场一店铺占道经营，有安全隐患,2,1,8,224.0
关于申请增加A7县泉塘地铁支线的请求,26,1,6,242.0
A5区省机械化施工公司棚改何时能启动,0,0,5,253.0
A3区天顶街道尖山安置小区3栋跨越速运噪音扰民！,0,0,10,203.0
A3区学士街道裕园小区楼下的绿化带成菜市场了,0,0,10,202.0
A市A1区苑物业乱收乱涨停车费,1,0,7,231.0
关于加快修建A市南横线的建议,47,0,13,169.0
反映A5区明大佳园楼盘的两大问题,1,0,9,210.0
关于A市高级技师购房补贴的疑问,14,0,30,1
A市部分公交站站牌线路信息缺失，带乘客带来不便,3,0,6,239.0
A7县早安星城周边工厂废气扰民问题求解决,2,0,8,218.0
反映A7县广泰家园道闸建设问题,0,1,8,218.0
请解决A4区青竹湖片区的学校问题,0,0,12,178.0
咨询公务员机构改革后参公身份及遴选的问题,8,1,6,237.0
A4区天春威尔士小区物业不管事，造成消防隐患等问题多,1,0,3,267.0
A市中医药研究院附属医院疑似出售假冒伪劣产品,0,0,3,267.0
A市民办培训机构乱象丛生，温斯顿英语培训强设霸王条款,2,0,19,108.0
A7县善化国际小区噪音非常严重,1,0,14,157.0
A4区波隆立交桥上有个大坑,4,0,6,236.0
对2019年A市麓山国际实验小学公开招聘的质疑,10,0,10,196.0
对A市城际铁路的一点建议,19,0,18,116.0
A6区黄金园街道桂芳佳园附近工地夜间施工扰民,0,0,18,116.0
A7县三中补课收费，家长负担不起,0,1,7,225.0
A2区楚府中学怎么老是收费,2,0,9,205.0
A市交通局门口的红绿灯为何不投入使用,1,0,6,234.0
A市新城国际花都五期精装，精装价格严重虚高,1,1,18,115.0
希望在A5区万科魅力城和阳光城尚东湾附近规划地铁,13,0,10,193.0
A7县楚龙路保利广场楼顶公寓楼施工噪音扰民,1,1,7,223.0
A7县楚绣城麻将馆夜夜扰民,0,0,15,143.0
投诉A市海伦春天不按承诺退房,0,0,11,181.0
A市楚雅路占道停车问题很严重,1,0,13,161.0
A1区鑫科明珠小区学生读不了育才二小,1,0,3,260.0
A4区天健城工地夜间施工，严重扰民！,0,0,29,1
A7县东六路与漓楚路口照明光线太暗，存在极大安全隐患,4,0,8,208.0
A8县东站南站无直达公交，极为不便！,2,0,7,218.0
投诉A市长房云时代小区配套幼儿园违规办园,0,0,19,99.0
A7县黄兴镇居民如何开具全国范围内的无犯罪记录证明？,0,0,9,198.0
A7县自来水公司费用收取太高了,0,0,9,198.0
请尽快落实A市2020年的民办招生政策,0,0,9,198.0
有项目无资金能在A市创业么？,4,0,5,236.0
A市科教新村4区10栋1单元的乐舞轩无证经营,0,0,6,226.0
A3区咸嘉湖西路麓谷雅园小区公共楼顶被非法占用,0,0,9,196.0
第二次投诉A7县金科天悦车位问题,0,0,8,205.0
A市政府机关食堂为什么不对外开放了,4,0,11,175.0
A7县城K4县置小区夜宵店噪音油烟扰民,0,0,9,195.0
关于A市809路907路望龙小区站统一站址划定标线的建议,3,0,4,244.0
A7县星沙街道凉塘路的旧城改造什么时候会启动？,81,0,20,81.0
顺风车为何只能在A市内运行？,2,0,3,253.0
希望A市经开区泉星二小田径场在课余时间对附近居民开放,26,0,10,182.0
A3区莲花镇龙台村采石场违规复工,0,0,3,252.0
西地省惠伏天下工作人员涉嫌诈骗,4,0,12,162.0
投诉A1区先锋东外滩小区2栋一麻将馆扰民,7,0,22,62.0
关于A6区时代年华精装修质量与价格不相符的投诉,6,2,10,181.0
A市2号社区巴士能否延长到A市新广电中心附近？,3,0,9,191.0
A7县万家丽路星沙机电学院段有没有规划过街天桥？,1,0,9,190.0
咨询A市社保缴纳问题,0,0,22,61.0
关于“2018年第五批公交线路调整方案”什么时候能执行调整到位？,3,0,13,150.0
A市万科金域华府三期出行难，断头路何时能通,11,0,18,100.0
A5区白沙湾嘉园一房两证的问题谁来管,1,0,14,140.0
咨询A7县山水湾小区幼儿园性质问题,4,0,28,1
举报A6区一干部侵占国有资产谋取利益,0,0,4,239.0
A2区南湖路水利水电机械施工公司小区环境脏乱差！,0,0,7,209.0
A3区恩瑞御西湖小区业主违规装修出租,0,0,8,199.0
A1区乐和城停车场入口成了一夜宵市场,0,0,3,248.0
建议A市黄花机场公交车推迟下班,1,0,9,188.0
投诉A市都昌能源科技有限公司拖欠工资,0,0,9,188.0
A4区君悦香邸东门口的饭店扰乱小区生活环境,4,0,7,207.0
A市经开区力都大厦的馨乐庭酒店何时开业？,13,0,3,246.0
再次反映A市时代年华项目装修价质不符问题,20,2,11,166.0
A1区兴和社区火星街道居民建言后信息被泄露，遭人打击,0,0,5,226.0
A市木莲中路百米人行道路狭窄,3,0,10,175.0
A1区东岸锦城A、B区交界处的多家铝合金门窗加工店发出刺耳的切割声,0,0,2,254.0
A市A2区丽发新城道路坑坑洼洼,1,0,26,16.0
A5区中航城3期9栋开放走廊设计存在安全隐患,0,0,16,115.0
A3区朝阳烧烤城半夜音响还在响,1,1,12,154.0
A1区荷花园街道华城广场楼下修地铁也太吵了,2,0,5,223.0
请管一下A3区金路相车辆乱停乱放的问题,1,0,9,183.0
A市尿毒症病人反映医保问题,8,1,8,192.0
A1区九道湾小区里的快递扰民,0,0,7,202.0
A3区中建梅溪湖有大量群租房,0,0,11,161.0
请A2区法院公正处理“公共区域擅自安装空调外机侵权扰民”一案,2,0,2,250.0
请问A市企业要如何办理人力资源服务许可证,0,0,3,240.0
A市五江国际商业广场的进展如何了,26,2,7,199.0
A4区沙坪街道双塘村普遍出现水井枯竭现象,0,0,4,230.0
A3区学士街道超规划建筑的合法性怎样认定？,18,0,9,179.0
A5区劳动东路魅力之城小区油烟扰民,4,0,27,1
A5区劳动东路魅力之城小区底层餐馆油烟扰民,0,0,27,1
社保补缴后，A市人才新政补贴会补发吗,0,0,27,1
A7县海德公园楼盘没有配套公办幼儿园或普惠性幼儿园吗,0,0,27,1
咨询A6区丁字湾街道未来发展规划的相关问题,0,0,27,1
A2区丽发新城小区旁边的搅拌厂是否合法经营,0,0,27,1
咨询A市新房落户政策等问题,0,0,27,1
西地省生物机电职业技术学院男生居然随意进出女生宿舍,2,0,8,189.0
A3区保利麓谷林语桐梓坡路与麓松路交汇处地铁凌晨2点施工扰民,1,0,10,168.0
询问A7县星沙圣力华苑出售地下车位是否合法？,40,1,13,136.0
反映A6区河东的一些交通问题,4,0,10,167.0
A7县星沙中茂城恶意拖欠购房资金不退还！,2,0,18,87.0
请问A市什么时候能普及5G网络？,0,0,6,206.0
希望尽快修建A市地铁1号线2期工程（汽车北站-彩霞路站）,40,0,8,183.0
C市到A市会开通地铁吗？,0,0,8,185.0
A市A1区万国城moma未经业主同意强建养老院,0,0,8,184.0
