赞成数,反对数,留言数,持续时长,问题描述
0,0,1,1,严重举报A1区华海3c朝阳菜市场附近夜宵摊门店口摆满桌椅
18,0,8,57.0,A7县星沙中贸城欺诈业主、拖欠业主资金不退还
0,0,1,1,A9市金刚镇挖埋污水管道，导致我家住房成危房
4,0,1,1,A8县科目三补考费要600一次，合理吗？
0,0,2,2.0,试管做出基因缺陷女婴，不幸家庭雪上加霜
0,0,1,1,西地省师大附中的校园喇叭太扰民了
0,0,1,1,请A市加快自来水深度净化改造力度
0,0,1,1,A市楚江技工工贸学校乱收补考费
4,0,2,10.0,A市高铁南站出租车用假钱
2,2,1,1,A市蓝的出租车营运到期，迟迟不发新车
4,0,5,48.0,请求解决A7县圣力华苑小区房屋两证合一的问题
0,0,1,1,A6区白箬铺镇光明村田坪组顺祥养老院涉嫌非法集资
0,0,4,237.0,A市外嫁女征地补偿政策不合理
0,0,5,51.0,A市A3区兰亭湾畔小区违规开餐饮
2,0,1,1,反映西地省高速公路2018年招聘收费员工资待遇问题
0,0,1,1,F市建工违规施工使我们无家可归还我房子
8,0,8,282.0,A市发顺驾驶员培训有限公司教练欺诈消费者
2,0,3,129.0,在A市江滨家园华庭苑买房八年才交房，还没有房产证！
12,0,1,1,A5区洞井镇目前仅有一所民办的同升湖高中学校
0,0,1,1,建议在A3区旺龙路增加人行斑马线
0,0,1,1,A市步行街、五一大道、火车站一块一年就翻新，有没有必要？
24,0,4,50.0,关于A市财富名园小区相关设施建设的建议
0,0,3,26.0,A市雷锋镇真人桥村拆迁安置不合理
0,0,1,1,请问A2区西牌楼小区有无拆迁计划
0,0,1,1,A7县万家丽北路楚龙街道长期拥堵问题求解决
4,0,7,51.0,A市丽发小区建搅拌站，噪音污染严重
20,0,5,71.0,A市江山帝景新房有严重安全隐患
0,0,1,1,被欺压诈骗的购房者
90,0,12,193.0,A市国王陵考古遗址公园一期整治项目周边环境常年恶劣
0,0,1,1,西地省晨鹭互联网科技有限公司涉嫌电话窃听，窃取公民信息
0,0,1,1,请清理A市人民西路137号人行道附近的僵尸车
0,0,1,1,A3区洋湖街道白鹭社区便民服务不便民
2,0,1,1,A7县东六路附近的空地做什么用途？
32,2,9,40.0,A市伊景园滨河苑协商要求购房同时必须购买车位
10,0,1,1,A市中级人民法院指鹿为马
0,0,1,1,A2区建中A1区嘉苑偶寓22栋违规搭建玻璃阳光房
0,0,5,64.0,请公开A1区东成大厦的相关规划文件
0,0,1,1,A4区华章路路灯光源污染严重影响新领地小区居民生活！
4,0,10,124.0,对A市公交线路的建议
0,0,1,1,A4区大道黄泥圹段南北约1500米的路灯不亮
0,0,2,90.0,A7县泉塘小区麻将馆扰民
38,0,4,109.0,举报A市A3区柏家塘小区私营ktv严重扰民
0,0,3,58.0,A市格林星城段两边的人行道上摆了数辆僵尸车
0,0,1,1,关于A市公交站点名称变更的建议
0,0,1,1,A2区富惠天下公司涉嫌非法集资一事为何迟迟不立案
0,0,2,207.0,A2区东能华府开发商未能按时交房
44,108,3,28.0,给A9市城区南西片区城铁站设立的建议
6,0,2,169.0,A市中南林业科技大学违反研究生培养计划
0,0,3,76.0,A4区兴汉门彭家井25号2栋餐馆油烟扰民
0,0,3,38.0,12123上申请驾驶证期满换证，一个星期了都无人受理
18,0,2,18.0,A市南山十里天池虚假宣传及违规收取物业费
22,0,2,93.0,A2区中建幼儿园2019年小班不合理操作
0,0,1,1,A市华嘉城小区精装房墙壁有鼓包
0,0,2,71.0,A市环保科技园园区振兴工业实体经济扶植奖励未按标准满额发放
2,0,1,1,A市新奥燃气无法通过网络付费？
0,0,1,1,A市交警推出的12123app不实用
2,0,1,1,请严查A3区杜容路工程车环卫车乱停扰民问题
0,0,1,1,A市普遍小学生春游费用高，且费用不透明
0,0,1,1,A市中海梅溪湖壹号业主私搭乱建
6,0,2,142.0,A市农民安置项目朝正美苑什么时候能分房入住？
0,0,5,69.0,A6区润和紫郡鲲鹏物业太差
0,0,1,1,投诉A市金六福珠宝欺诈消费者
2,0,2,308.0,公司不交公积金不按实际工资交五险，请问如何维权？
0,0,2,9.0,A市A5区稻田中学午餐伙食太差劲
4,0,1,1,A7县泉塘社区东七路与漓楚路交汇处斑马线如何安全通过
0,0,5,200.0,A4区秀峰街道1094围墙外渣土车日夜运渣土填农田，严重扰民
0,0,1,1,A6区江岸花城为何迟迟不交房
2,0,4,31.0,A5区时代阳光大道中建嘉和城附近防护绿地被侵占
56,6,11,192.0,请A市加快轨道交通建设力度
0,0,1,1,投诉A7县春华镇九木村村镇行政执法和农村村镇管理问题
2,0,3,123.0,A市A2区丽发新城道路坑坑洼洼
1400,0,9,126.0,A4区绿地海外滩小区距渝长厦高铁太近了
2,0,1,1,A3区实验小学东西校区明明属同一个学校，为什么这么多不同？
0,0,2,41.0,为什么一有投诉A市九峰小区的餐饮商户就被要求停工？
2,0,3,2.0,希望A7县城区增加智能红绿灯和过街天桥
0,0,1,1,A市长盛庭岚小区内打架斗殴威胁业主生命
0,0,1,1,反映A3区A3区街道安置小区惟盛园业主的房子问题
2,0,2,156.0,在A7县星沙水痘疫苗及腮腺炎疫苗是入学必须补种的吗？
24,2,3,240.0,A7县文体中心乒羽中心何时能建成开放？
4,0,2,258.0,西地省科技职业技术学院女生宿舍，条件极差
2,0,2,15.0,A6区高塘岭街道楚江村楚江组组民无心过年
4,0,1,1,举报A市鑫天鑫城物业公司侵吞公共收入！
0,0,1,1,A6区月亮岛街道楚江重建地非法门窗店电锯锯铝材扰民
4,0,4,343.0,举报A3区星雨驾校退费的霸王条款及退费中产生偷税漏税的行为
14,8,8,20.0,A3区梅溪湖看云路一师润芳园小区临街门面油烟扰民
6,0,8,70.0,A市辉煌国际城居民楼下开饭店，到底是哪些部门失职？
2,0,10,125.0,A2区五矿紫湖香醍为何经常停水
4,2,2,27.0,A7县社塘路白改黑及铁建一期社塘路人行道星沙供水公司井盖高出人行道
0,2,2,22.0,A2区火把山社区业主楼顶私堆大量建筑垃圾导致楼顶漏水严重
0,0,4,82.0,A3区雨敞坪镇新卯村三合组移动信号时有时无
6,0,1,1,A市地铁7号线何时能开工建设？
0,0,1,1,A5区万家丽中路泰禹家园住改商改成麻将馆，深夜麻将扰民无人管
0,0,1,1,A7县震欢天欢乐水世界广告活动忽悠市民
0,0,1,1,A市盈泉国际美容养生会所欺骗消费者
0,0,1,1,2018年度省建设工程质量检测技术人员岗位知识考试成绩何时公布？
0,4,1,1,希望A市A4区政府尽快查处北辰三角洲c2区群租房现象
2,0,1,1,A市社保卡办理能否加快速度
2,0,2,1,A市高新区谷苑路的渣土车为何如此疯狂飞驰？？？
4,0,5,177.0,请求处理A7县金科时代中心物业强制收取停车费
2,0,2,207.0,A7县春华镇武塘村坝湾组的自来水何时能好？
0,0,1,1,A3区枫华府邸小区停水7天了！
0,0,2,33.0,请政府救救广铁集团的职工吧
0,0,1,1,A3区麓天小区三期DD25栋旁挖自然绿化山体违建
0,0,1,1,A3区望月湖麓山国际门口奶茶店涉及无证经营半年之久
0,0,1,1,A3区望兴家园8-9栋地下室简易隔成10间小房出租
8,4,1,1,A3区钰龙天下云梦仙语养生店内藏污纳垢
4,0,1,1,A3区第十幼儿园数百名学龄前儿童即将无学可上
0,0,1,1,A3区凯特梅溪紫郡周边化工厂污染太大了！
2,0,1,1,A1区远大路东方银座小区水管漏水已有二年了，无人管
0,0,1,1,A4区御景龙城小区新连排有业主违规改建房屋
0,0,1,1,A市新奥燃气强行给我家换气表后，气的用量翻倍
0,0,1,1,A市A1区路到西湖路至乡村小道有环境污染问题
0,0,1,1,A市赤岗岭地铁站晚上工地施工扰民严重
2,0,1,1,A7县星沙街道吾悦广场商演噪音扰民
0,0,1,1,星沙公交X2路车换成中型窄体客车是不合理的
0,0,1,1,A市育英小学划分重点班
0,0,1,1,A市人民路曙光路到朝阳路段什么时候可以拓宽
22,0,2,6.0,对A7县“雅韵星沙周末有戏”演出活动的补充建议
486,0,2,34.0,A市富绿物业丽发新城强行断业主家水
0,0,8,126.0,说说A4区凯乐国际城小区周边安全隐患问题
2,0,2,48.0,A4区六号线楚雅路地铁施工严重扰民
0,0,2,1.0,咨询A市公交409线路问题
240,4,8,143.0,居住在地铁3号线A7县松雅西地省站西北方向10万民众的心声
0,0,1,1,A市大学毕业生买房却迟迟无法入住
28,0,2,16.0,请问A7县泉星公园何时开工，工期多长？
0,0,1,1,反映A2区云峰路水墨林溪苑二期电梯覆盖信号问题
12,0,1,1,请A市坚决取缔校园贷！
0,0,4,22.0,A市捷聚飞迈网络有限公司流窜作案，请求给予打击！
52,0,6,270.0,A市公积金何时可进行网上转移
2,0,1,1,A市（骧龙）井湾子机动车检测站乱收费
0,0,3,5.0,A4区四方坪怡然翠园退房的钱也拿不到
36,0,2,14.0,A3区学士街道超规划建筑依然在建，留言的回复并不真实
12,2,4,264.0,请加快A市月亮岛片区公共服务力度
0,0,2,17.0,A4区华夏路社区居住证明办理难
0,0,1,1,A市公安局A4区分局非法拘禁关押人
0,0,1,1,A市人民西路违建严重影响后面居民夜间休息
16,0,1,1,反映A市城市交通存在的诸多问题
6,0,2,4.0,A7县809路方略潇邦站无站牌，公交站牌更新不及时
6,0,2,57.0,A7县开元东路城东与睿城小区之间能否设置人行天桥
0,0,1,1,A市东风路139号私人工地大量毁绿，拒不整改
2,0,1,1,期盼A市星沙15路车在上班高峰期能准时发车
0,0,1,1,A8县白马桥街道二环南路的路灯不亮了
4,0,2,18.0,A6区新华联梦想城商业破坏防火墙，私设排烟管道
0,0,2,94.0,西地省科技职业学院未经沟通就强制学生搬离宿舍
0,0,1,1,A市烈士公园池塘被私人承包了吗
0,0,1,1,我觉得A市地铁四号线六沟垅站出口设计不合理
0,0,1,1,请求解决A7县唐田新村道路硬化的问题
40,0,12,169.0,坚决反对在A7县诺亚山林小区门口设置医院
16,0,1,1,A4区捞刀河镇星沙联络线罗涵庄段辅道口什么时候修建好
2,0,1,1,A市A5区桃花苑二期房屋存在质量安全问题！
0,0,1,1,A市昇明壹城房贷利率为何突然上升
0,0,1,1,A9市镇头镇金牌村马达队强盛建材厂严重污染环境
18,0,2,9.0,为什么不依法拘留A7县星沙K9县郡的恶人
0,0,1,1,A1区新安安置小区6栋三单元的下水井堵塞了
6,0,1,1,A2区兴汝金城二期开发商将电表箱装在业主门口，有安全隐患！
2,0,2,182.0,A7县黄花收费站出站排队司机经常鸣笛扰民
0,0,2,57.0,A市自然村村民房屋后护坡垮塌，严重威胁我的安全
2,0,2,1,A市悦湖山小区存在安全隐患
4,0,2,9.0,A市地铁五一广场站一二号线换乘的建议
22,0,3,223.0,A市德雅路什么时候修？
0,0,2,342.0,蒙华铁路A9市段中铁十五局二工区施工队拖欠农民工工资
3124,2,7,129.0,承办A市58车贷案警官应跟进关注留言
0,0,1,1,A市物业公司进入企业老旧职工小区，业主有无选择权与知情权？
32,0,3,242.0,A7县泉塘街道泉星生鲜市场装修工程没有公开招标
0,0,2,25.0,A4区竹山园路老毛家桥市场有商贩堵路
2,0,1,1,A市楚府东路的路面状况特别差，望修整
0,0,1,1,A市高新区中梁云麓传奇工地南边道路上长年都是泥土
12,0,2,1.0,被A3区阿普阿布小区开发商坑害，购房多年现无购房资格
0,0,1,1,A7县三一大道下匝道左拐进锦绣路绿灯通行时间太短
0,0,1,1,A3区教师招聘报名只给报考考生一次修改资料的机会
2,0,2,107.0,A7县开元路与东四路交叉口未经听证会和公示就建垃圾站
0,0,1,1,A市梅溪湖城市热点垄断市场，装机不及时
0,0,1,1,A6区普瑞大道和黄金大道口交通堵塞严重
0,0,1,1,A1区紫薇路上的美聚酒店噪声扰民！
4,0,2,1.0,A市润和国际广场置业顾问欺诈消费者
12,0,2,216.0,A2区桂花坪街道农民的安置地到底安置了谁？
4,0,3,86.0,A2区龙湾国际社区别墅区违建现象严重
6,0,2,259.0,A5区佳兆业水岸新别墅一期违建成风
0,0,1,1,A3区谷山庭院3期国家保障房的人防车库可以出售吗？
6,0,2,124.0,咨询A7县农村土地确权颁证工作的证书发放问题
0,4,4,42.0,A6区二中强制学生暑假补课且收费
0,0,2,1,寻找A7县退伍人员的下落
0,0,1,1,A市居民申请身份证信息变更
0,0,1,1,举报A市博长山水香颐小区违规建设医疗机构
0,0,1,1,A6区中粮鸿云房屋采光有严重问题
0,0,2,259.0,A8县喻家坳中心幼儿园突然砍掉学生上课时间
34,0,3,71.0,A7县A1区国里楼盘烂尾7年还未交房！
8,2,5,182.0,A市阳光医院无故打电话骚扰百姓正常生活
0,0,1,1,咨询A市潇楚卡异地优惠问题
6,4,4,288.0,对远期A市地铁的建议
6,0,5,35.0,A市教师招聘不公平
0,2,6,56.0,A1区汇一城小区高层住宅与变电站距离不到15米
0,0,1,1,反映A市浮恩阳光投资置业有限公司非法集资问题
8,0,3,200.0,A5区洞井村清产核资合规则合程序吗？
2,2,1,1,A3区含浦镇玉江村高考美术培训机构是否合法？
0,0,2,4.0,A8县市东方现代城业主还没拿到房产证
2,0,4,198.0,A2区天悦幼儿园的社团收费太贵了
8,0,17,97.0,车位捆绑违规销售
0,0,1,1,A3区车塘河路公园尚小区物业强制买车位
0,0,1,1,A9市张坊镇富溪村村民的杉树被人砍了
2,0,4,161.0,A3区王家湾西二环辅路与含浦路交叉口红绿灯设置不合理
0,0,1,1,对A2区金线街提质改造工程的一点意见
2,0,3,55.0,A市珠江东方明珠有严重安全隐患，开发商和物业拒绝整改
0,0,1,1,A5区明昇壹城小区业主未取得养犬许可证，违规养狗
32,4,2,1,A市润万滨江天著毛坯房有严重质量问题
0,0,1,1,A3区新民小区住改商无证经营，影响居民生活污染大
0,0,1,1,A市咸嘉新村文明兴旺华的无证办学现象严重
0,0,1,1,A市月亮岛社区残疾人房子被强拆，征收补偿有问题
0,0,2,16.0,请查处西地省农机局违法移交改制企业土地证事件！
4,0,9,200.0,A市加快招商引资方面有何具体行动？
134,4,5,291.0,建议A市规划局东延地铁7号至泉塘片区，便民出行
4,2,6,190.0,A市涉外经济学院组织学生外出打工合理吗？
0,0,1,1,西地省A市蜂投网涉嫌诈骗
4,0,2,38.0,A2区A1区南路尚双塘中信广场附近渣土车长期闯红灯超速无人管
0,0,1,1,西地省环境生物职业技术学院收取空调维修费200元，太坑
0,0,1,1,A市家四水厂乖乖兔电动车商家逃避责任
0,0,1,1,A7县黄兴镇主干道黄江大道路边围档严重影响居民出行
0,0,1,1,反映A6区丁字湾的雅礼丁姜学校小学部建设问题
0,0,1,1,A市国储电脑城负一层存消防隐患
0,0,2,20.0,A市北二环与A4区大道交界附近有三处超高减速带
20,8,2,14.0,是谁将国企西地省巴士推向深渊？
0,0,1,1,投诉A市A5区中航城开发商擅自变更规划，毁坏园林绿化
6,0,1,1,A2区肉联厂18栋这边的平房什么时候拆迁？
0,0,2,189.0,A市黄花机场每天最早和最晚航班有规定吗
0,0,2,146.0,A市万家丽路与远大路交汇处的通道被乞讨人员占用
4,0,1,1,A7县茂中城已售商铺被查封，业主心急如焚
2,0,4,230.0,A市卓越中寰无故拒绝阻碍业主办理公积金组合贷
0,0,1,1,举报A1区东业上城嘉苑小区物业公司违法封堵消防通道
0,0,1,1,A市麓山南路上左家陇西公交站旁的红绿灯损坏，盼及时维修
0,0,1,1,请制止A7县广华大厦的违建行为
2,6,2,117.0,反映A7县星沙M9县城二期停车问题
8,0,1,1,A7县毛塘铺到楚龙的公交车何时可以开通啊？
0,0,1,1,春节燃放烟花爆竹影响A市区居民休息
6,0,1,1,A市医学会泄露考生个人信息如此之快
0,0,1,1,反映A市枫树山大桥小学午餐的问题
4,0,1,1,A市仕薇国际美容美发连锁店关门跑路
2,0,1,1,A7县东九路旁的龙塘水体公园的具体开放时间是？
0,0,2,12.0,A市A5区树木岭世贸璀璨天城通宵施工噪音扰民
0,0,1,1,请督促A7县星沙街道办、县住建局积极处理恒大翡翠华庭相关问题
32,2,7,100.0,再次举报A2区“食在我家”饭店油烟扰民
6,0,3,57.0,A7县捂盘问题何时解决？
0,0,3,195.0,A市地铁六号线人民东路站连续几个星期通宵施工了
0,0,1,1,投诉A8县市中梁首府开发商偷工减料
90,0,3,67.0,A市南北横线有继续修的计划吗
20,2,1,1,A7县一公安干警利用职务之便查询个人行踪
0,2,2,1.0,A市理工大学连续查寝影响学生正常生活
0,0,1,1,A市耕地占用补偿标准是什么
2,0,2,61.0,请A市提高民办幼儿园的师资待遇水平
2,0,5,120.0,A市梅溪湖温斯顿恶意拖欠退款
4,0,2,1,A1区教育局对鑫科明珠小区学区划分不公正
0,0,2,348.0,投诉A市金沙装饰公司拖欠农民工工资
0,0,1,1,请A市加快提高人民教师的收入待遇
0,0,1,1,西地省邮电职业学院校园网掉线率高、网速慢
10,0,2,17.0,举报A市振业城三期A组团房屋开裂、电表外置在过道、绿化不达标等问题
0,0,3,65.0,请清理A3区咸嘉新村西子园的非法托管中心
36,2,8,301.0,在A市打工人士想知道居住证如何申请延期
0,0,3,69.0,能不能取消A3区中海国际三期南门的围栏
4,0,1,1,A市电力局强占小区公摊范围强制施工，影响人身安全
0,0,1,1,A7县万家丽路星沙机电学院段有没有规划过街天桥？
42,0,2,7.0,感谢A7县泉塘街道泉星社区拆除废弃油烟排放管道
0,2,1,1,A7县好望谷胜益画室非法培训，存在安全隐患
2,0,2,16.0,举报A市发建集团大搞形式主义
2,0,3,62.0,A3区山景区的一些路标标错了吧
0,0,1,1,直通A8县高铁站和火车站的道路金水西路西延什么时候动工？
0,0,1,1,希望提高A市至F市白天普快列车的频次
116,4,15,220.0,再次反映A市时代年华项目装修价质不符问题
2,0,3,67.0,2019年A3区事业单位招聘为何要求本科生年龄要在28岁以下？
22,0,1,1,A市晚报普通老百姓想看，却订不起
0,0,2,108.0,A7县女子外嫁后户口还能迁回原村吗？
18,4,1,1,给A7县松雅湖发展与交通安全问题的相关建议
0,0,1,1,A2区富绿新村新6栋的垃圾站何时能拆？
0,8,1,1,A市芒果都市助力小区成立业委会，合理吗？
18,0,2,11.0,A7县松雅湖滨湖路和灰埠路上飙车党扰民严重
0,0,1,1,反对在A3区联江路与连塘路交叉口建垃圾场
0,0,1,1,A2区瑞都商务酒店二楼茶室严重噪音扰民
46,0,2,282.0,咨询A7县东四路远大路到人民路南延拆迁进度等问题
0,0,1,1,蒙华铁路A9市段一季度工程款还未拨付
2,0,1,1,请问A7县星沙开元路与东四路西南角闲置地块有什么规划用途？
4,0,1,1,A6区润和长郡小区架空层的养老中心该不该建？
0,0,1,1,关于A市土地确权和粮田直补金问题的咨询
2,0,1,1,A市A6区交通管理所非法扣车
14,0,3,141.0,请A市公安局A2区分局依法调查余易贷诈骗一案
0,0,2,232.0,咨询A市装修核价的相关问题
8,2,5,78.0,举报A7县星沙镇星沙派小区有建筑物与备案竣工验收图不符
10,0,2,10.0,投诉A市大汉汉园项目欺骗消费者
2,0,3,78.0,A4区富楚园小区合法商铺被围几年了，何时能解决
6,0,6,214.0,请解决A7县海伦春天、当代广场居民出行难的问题
0,0,2,56.0,A3区天顶街道尖山安置小区3栋跨越速运噪音扰民！
2,0,2,114.0,A市地铁4号线月亮岛地铁口出行交通不便
0,0,1,1,请A市A2区人民法院将伪造审计案件重新提审
0,0,3,14.0,A市黄兴北路拆迁户的补偿金在何方？
8,0,6,35.0,A市万科魅力之城小区近百户楼板开裂墙面开裂
0,0,1,1,恳请A市政府帮我追回被卷钱款
24,0,11,178.0,A3区中海国际社区幼儿园无法满足实龄幼儿就读需求
0,0,1,1,A市北辰三角洲E5区因房屋品质问题导致外墙渗水严重
10,0,1,1,请增加A市276路运行线路或增加发车频率
0,0,2,10.0,A8县金州大道金牛广场足之韵挂牌洗脚实际严重涉黄
4,2,1,1,A2区大托铺街道学生出行不方便
0,0,2,1,A市公交公司的清扫令人寒心
0,0,1,1,A市中南林业科技大学西园三供一业改造让我家成了水帘洞
98,4,5,210.0,A7县星沙东六路下穿长浏高速工程进展如何？
0,0,1,1,A市田涵剧院前地下工程是什么？
0,0,3,23.0,投诉A市盛世耀凯小区物业无故停水
0,0,1,1,A市X115等待时间太久了
0,0,1,1,反映A4区月湖公园建设拆迁安置的问题
12,0,4,9.0,A市云开一品开发商欺诈业主，产权缩水30年
8,2,12,148.0,A7县樃梨领东汇小区一住改商麻将馆扰民
0,0,2,45.0,A市南部片区部分路段急需改造
2,0,2,77.0,请关心A4区湖畔水映两小区小孩的教育问题
0,0,1,1,A8县市天宁热电厂烟囱里浓烟滚滚
0,0,1,1,请将A4区福元中路附近污染很大的汽修公司搬迁或关停
8,0,3,229.0,A市万科金域华府三期出行难，断头路何时能通
2,0,1,1,A7县星沙联络线桥下有人敲鼓严重影响居民休息
0,0,1,1,A6区汽车站公交站站牌需要合理整治规划
0,0,1,1,A市法院审理流程不合法，案件认定错误
0,0,1,1,A5区左家塘街道嘉园社区麻将馆扰民
0,0,2,5.0,A2区鑫远楚府华城楼盘违规建设300吨水箱，极易引发地质塌陷
16,0,2,6.0,西地省津楚投资有限公司法人失踪半月
0,0,1,1,A市五一路袁家岭佳兆业广场施工跟放炮一样
4,0,6,16.0,A市湖楚财富及两大国资委股东侵吞百姓血汗钱
26,0,3,3.0,西地省山千制药机械股份有限公司拖欠A7县工人工资近半年
0,0,1,1,恳请政府帮助解决A8县未来方舟办理房产证的难题
4,0,1,1,请拆除A7县星沙一区86栋东边住户楼顶违建
6,0,1,1,反映A5区圭塘路五矿万境水岸路段拥堵及执法不为问题
4,0,1,1,A市恒大御景天下多个1楼住户，毁坏小区公用绿地（图）
0,0,1,1,A3区八方小区又在搞违法搭建了
0,0,2,17.0,A3区鑫庆医药公司拖欠员工工资，卷款逃逸
8,18,1,1,咨询A7县道路规划的问题
2,0,1,1,A3区观沙岭街道岳北社区B16栋4门一楼有赌博机
0,0,2,291.0,举报A8县碧桂园山湖城开发商及物业非法出卖公共土地
0,0,1,1,A市新桥沁园夜宵街扰民严重
8,0,2,158.0,A7县星沙商业乐园是否存在违建？
0,0,1,1,A市绿地城际空间站严重误导消费者
2,0,3,106.0,请求A7县政府支持办理星悦荟栋证
0,0,1,1,A3区园林局未经行政许可强行侵占林权、违法用地
0,0,1,1,请求给A市长桥综合农贸市场远大二路修建人行通道
2,0,1,1,希望A7县x117公交末班车时间能延长
0,0,1,1,A4区怡然翠园退房事件怎么处理？
0,0,1,1,A1区兴和社区火星街道居民建言后信息被泄露，遭人打击
16,0,2,139.0,A市中海国际居民出行不方便
0,0,2,120.0,A市水岸天际小区6栋2单元一楼非法占用公共绿道搭建餐馆
2,0,2,277.0,希望L827路停一下A7县机场大道人民东路站牌
14,0,3,168.0,A市地铁可不可以增加扫码闸口
2,0,1,1,A市鑫邮小区水电分离改造为何不能享受免费政策？
